CUSTOMER_ID,BRANCH_CODE,CITY,TXN_DATE,TXN_TIMESTAMP,AMOUNT,TXN_TYPE
CUST1819,B008,Delhi,2024-03-10,2024-03-10 11:07:00,32229.39,TRANSFER
CUST1420,B008,Chennai,2024-02-07,2024-02-07 13:36:00,41344.64,TRANSFER
CUST1438,B015,Bangalore,2024-04-09,2024-04-09 22:04:00,38952.68,DEBIT
CUST1376,B003,Mumbai,2024-01-22,2024-01-22 01:00:00,32155.3,CREDIT
CUST1704,B015,Delhi,2024-03-01,2024-03-01 14:59:00,40157.75,CREDIT
CUST1978,B019,Chennai,2024-03-17,2024-03-17 06:02:00,21936.42,DEBIT
CUST1167,B010,Mumbai,2024-04-20,2024-04-20 11:37:00,35348.74,BILL
CUST1952,B016,Chennai,2024-02-01,2024-02-01 00:08:00,3551.2,DEBIT
CUST1722,B015,Chennai,2024-03-02,2024-03-02 00:03:00,19275.67,CREDIT
CUST1408,B009,Bangalore,2024-03-13,2024-03-13 22:10:00,23448.86,EMI
CUST1622,B018,Delhi,2024-04-17,2024-04-17 00:39:00,37808.1,CREDIT
CUST1330,B010,Bangalore,2024-06-23,2024-06-23 18:42:00,46736.39,TRANSFER
CUST1848,B003,Mumbai,2024-01-20,2024-01-20 17:39:00,41713.55,DEBIT
CUST1784,B019,Chennai,2024-02-25,2024-02-25 02:06:00,2189.87,TRANSFER
CUST1018,B006,Delhi,2024-04-09,2024-04-09 23:35:00,18807.59,DEBIT
CUST1494,B010,Chennai,2024-04-18,2024-04-18 13:50:00,47548.4,BILL
CUST1227,B002,Delhi,2024-04-30,2024-04-30 11:26:00,43055.95,CREDIT
CUST1160,B007,Mumbai,2024-05-05,2024-05-05 08:44:00,28621.95,TRANSFER
CUST1608,B008,Hyderabad,2024-04-06,2024-04-06 15:33:00,37721.66,CREDIT
CUST1822,B011,Bangalore,2024-05-07,2024-05-07 05:26:00,37876.36,DEBIT
CUST1776,B007,Mumbai,2024-05-13,2024-05-13 12:36:00,26698.6,EMI
CUST1453,B005,Hyderabad,2024-05-27,2024-05-27 10:24:00,12535.4,CREDIT
CUST1206,B011,Chennai,2024-01-29,2024-01-29 23:34:00,10241.46,BILL
CUST1447,B005,Hyderabad,2024-01-11,2024-01-11 23:52:00,32384.28,EMI
CUST1472,B002,Mumbai,2024-01-16,2024-01-16 18:47:00,33060.2,TRANSFER
CUST1125,B005,Chennai,2024-03-27,2024-03-27 15:03:00,27220.06,BILL
CUST1349,B003,Bangalore,2024-01-26,2024-01-26 04:48:00,29683.19,TRANSFER
